flower_type,flower_name,colours,variant_name,blooming_season,import_non,cost_per_stem,cost_per_bunch,quantity,date
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,light pink,sweet pink,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-01-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-02-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-03-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-04-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-05-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-06-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-07-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-08-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-09-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-10-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-11-01
focal flowers,rose,red,sexy red,all season,local,6750,135000,20,2026-12-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,white,avalan,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,yellow,mohana,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,purple,cool water,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,orange,fudu,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-01-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-02-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-03-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-04-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-05-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-06-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-07-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-08-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-09-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-10-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-11-01
focal flowers,rose,hot pink,karina,all season,local,5000,100000,20,2026-12-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-01-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-02-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-03-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-04-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-05-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-06-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-07-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-08-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-09-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-10-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-11-01
focal flowers,rose,peach,kahala,all season,ecuador,27000,540000,20,2026-12-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-01-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-02-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-03-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-04-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-05-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-06-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-07-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-08-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-09-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-10-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-11-01
focal flowers,rose,cream,quick sand,all season,ecuador,21000,420000,20,2026-12-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-01-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-02-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-03-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-04-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-05-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-06-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-07-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-08-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-09-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-10-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-11-01
focal flowers,rose,light purple,ocean song,all season,ecuador,18000,360000,20,2026-12-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-01-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-02-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-03-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-04-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-05-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-06-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-07-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-08-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-09-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-10-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-11-01
focal flowers,rose,dark red,naomi,all season,vietnam,12500,250000,20,2026-12-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-01-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-02-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-03-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-04-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-05-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-06-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-07-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-08-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-09-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-10-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-11-01
focal flowers,rose,white pink,jumilia,all season,vietnam,12500,250000,20,2026-12-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-01-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-02-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-03-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-04-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-05-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-06-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-07-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-08-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-09-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-10-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-11-01
focal flowers,rose,light pink,baby love,all season,vietnam,12500,250000,20,2026-12-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-01-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-02-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-03-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-04-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-05-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-06-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-07-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-08-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-09-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-10-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-11-01
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,18000,180000,10,2026-12-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-01-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-02-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-03-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-04-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-05-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-06-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-07-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-08-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-09-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-10-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-11-01
secondary focal flowers,lysianthus,green,green,all season,vietnam,18000,180000,10,2026-12-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-01-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-02-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-03-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-04-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-05-01
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,18000,180000,10,2026-06-01
