flower_type,flower_name,colours,variant_name,blooming_season,import_non,cost_per_stem,cost_per_bunch,quantity
focal flowers,rose,light pink,sweet pink,all season,local,"5,000",100000,20
focal flowers,rose,red,sexy red,all season,local,"6,750",135000,20
focal flowers,rose,white,avalan,all season,local,"5,000",100000,20
focal flowers,rose,yellow,mohana,all season,local,"5,000",100000,20
focal flowers,rose,purple,cool water,all season,local,"5,000",100000,20
focal flowers,rose,orange,fudu,all season,local,"5,000",100000,20
focal flowers,rose,hot pink,karina,all season,local,"5,000",100000,20
focal flowers,rose,peach,kahala,all season,ecuador,"27,000",540000,20
focal flowers,rose,cream,quick sand,all season,ecuador,"21,000",420000,20
focal flowers,rose,light purple,ocean song,all season,ecuador,"18,000",360000,20
focal flowers,rose,dark red,naomi,all season,vietnam,"12,500",250000,20
focal flowers,rose,white pink,jumilia,all season,vietnam,"12,500",250000,20
focal flowers,rose,light pink,baby love,all season,vietnam,"12,500",250000,20
secondary focal flowers,lysianthus,pink,pink,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,green,green,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,pink rim,pink rim,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,purple,purple,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,purple rim,purple rim,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,white,white,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,yellow,yellow,all season,vietnam,"18,000",180000,10
secondary focal flowers,lysianthus,champagne,champagne,all season,china,"22,500",225000,10
secondary focal flowers,lysianthus,tea color,maroon,all season,china,"22,500",225000,10
secondary focal flowers,lysianthus,red,red,all season,china,"22,500",225000,10
secondary focal flowers,lysianthus,white,white,all season,china,"22,500",225000,10
fillers,babys breath (gysophilla),white,white,all season,ecuador,"18,000",180000,10
line flowers,delphinium,light blue,chiffon blue,May,local,"50,000",250000,5
line flowers,delphinium,light blue,chiffon blue,June,local,"50,000",250000,5
line flowers,delphinium,light blue,chiffon blue,July,local,"50,000",250000,5
fillers,hydrangea,light blue,light blue,June,local,0,"50,000",1
fillers,hydrangea,light blue,light blue,June,local,0,"50,000",1
fillers,hydrangea,light blue,light blue,July,local,0,"50,000",1
fillers,hydrangea,light blue,light blue,July,local,0,"50,000",1
fillers,hydrangea,light blue,light blue,October,local,0,"50,000",1
fillers,hydrangea,light blue,light blue,October,local,0,"50,000",1
fillers,hydrangea,green,green,June,local,0,"40,000",1
fillers,hydrangea,green,green,June,local,0,"40,000",1
fillers,hydrangea,green,green,July,local,0,"40,000",1
fillers,hydrangea,green,green,July,local,0,"40,000",1
